customer_id,customer_name,city,area,signup_date
1,Customer 1,Mumbai,Central,2022-05-21
2,Customer 2,Hyderabad,East,2022-03-13
3,Customer 3,Mumbai,Residential,2022-02-14
4,Customer 4,Lucknow,IT Park,2022-01-17
5,Customer 5,Delhi,North,2022-04-22
6,Customer 6,Hyderabad,Residential,2022-11-05
7,Customer 7,Delhi,Residential,2022-04-12
8,Customer 8,Jaipur,IT Park,2022-04-23
9,Customer 9,Ahmedabad,Outskirts,2022-05-23
10,Customer 10,Delhi,South,2022-12-24
11,Customer 11,Pune,Old City,2022-05-23
12,Customer 12,Bengaluru,East,2022-06-22
13,Customer 13,Mumbai,North,2022-07-14
14,Customer 14,Mumbai,Old City,2022-06-26
15,Customer 15,Lucknow,West,2022-01-23
16,Customer 16,Ahmedabad,Residential,2022-03-05
17,Customer 17,Pune,North,2022-10-10
18,Customer 18,Chennai,Outskirts,2022-07-05
19,Customer 19,Lucknow,East,2022-12-27
20,Customer 20,Mumbai,Central,2022-12-05
21,Customer 21,Hyderabad,West,2022-02-10
22,Customer 22,Hyderabad,North,2022-07-14
23,Customer 23,Chennai,Market Area,2022-11-22
24,Customer 24,Kolkata,South,2022-07-09
25,Customer 25,Kolkata,East,2022-12-10
26,Customer 26,Chennai,North,2022-11-08
27,Customer 27,Bengaluru,Residential,2022-05-06
28,Customer 28,Bengaluru,Market Area,2022-07-14
29,Customer 29,Chennai,Residential,2022-04-23
30,Customer 30,Kolkata,Central,2022-04-28
31,Customer 31,Delhi,Old City,2022-07-25
32,Customer 32,Chennai,North,2022-04-19
33,Customer 33,Lucknow,Old City,2022-04-19
34,Customer 34,Ahmedabad,IT Park,2022-11-26
35,Customer 35,Ahmedabad,South,2022-05-16
36,Customer 36,Bengaluru,East,2022-10-15
37,Customer 37,Jaipur,West,2022-10-27
38,Customer 38,Pune,Outskirts,2022-07-24
39,Customer 39,Kolkata,East,2022-03-12
40,Customer 40,Jaipur,Market Area,2022-02-16
41,Customer 41,Delhi,North,2022-03-20
42,Customer 42,Bengaluru,IT Park,2022-11-02
43,Customer 43,Mumbai,IT Park,2022-07-15
44,Customer 44,Lucknow,Market Area,2022-09-28
45,Customer 45,Chennai,Residential,2022-01-06
46,Customer 46,Mumbai,Residential,2022-05-17
47,Customer 47,Kolkata,North,2022-05-31
48,Customer 48,Pune,South,2022-08-21
49,Customer 49,Delhi,West,2022-09-14
50,Customer 50,Bengaluru,Residential,2022-02-24
51,Customer 51,Chennai,Residential,2022-11-08
52,Customer 52,Hyderabad,South,2022-07-11
53,Customer 53,Bengaluru,Residential,2022-09-29
54,Customer 54,Delhi,Outskirts,2022-06-15
55,Customer 55,Ahmedabad,Central,2022-02-27
56,Customer 56,Kolkata,West,2022-05-03
57,Customer 57,Delhi,East,2022-10-18
58,Customer 58,Mumbai,North,2022-09-06
59,Customer 59,Mumbai,Residential,2022-03-06
60,Customer 60,Bengaluru,Market Area,2022-10-09
61,Customer 61,Bengaluru,West,2022-09-28
62,Customer 62,Lucknow,IT Park,2022-04-19
63,Customer 63,Jaipur,East,2023-01-01
64,Customer 64,Chennai,IT Park,2022-12-10
65,Customer 65,Kolkata,Market Area,2022-09-22
66,Customer 66,Ahmedabad,North,2022-05-07
67,Customer 67,Hyderabad,North,2022-06-23
68,Customer 68,Delhi,Outskirts,2022-10-11
69,Customer 69,Hyderabad,Outskirts,2022-04-23
70,Customer 70,Delhi,North,2022-12-29
71,Customer 71,Delhi,East,2022-02-04
72,Customer 72,Delhi,Old City,2022-02-06
73,Customer 73,Jaipur,East,2022-05-23
74,Customer 74,Ahmedabad,East,2022-10-04
75,Customer 75,Bengaluru,Outskirts,2022-10-23
76,Customer 76,Ahmedabad,East,2022-08-31
77,Customer 77,Pune,East,2022-02-18
78,Customer 78,Mumbai,IT Park,2022-07-01
79,Customer 79,Pune,IT Park,2022-08-28
80,Customer 80,Delhi,North,2022-02-01
81,Customer 81,Pune,Old City,2022-02-25
82,Customer 82,Hyderabad,East,2022-04-08
83,Customer 83,Jaipur,Market Area,2022-03-13
84,Customer 84,Pune,South,2022-05-23
85,Customer 85,Ahmedabad,East,2022-02-08
86,Customer 86,Ahmedabad,Residential,2022-02-20
87,Customer 87,Delhi,Residential,2022-01-08
88,Customer 88,Mumbai,East,2022-03-27
89,Customer 89,Pune,Market Area,2022-09-04
90,Customer 90,Hyderabad,IT Park,2022-01-31
91,Customer 91,Bengaluru,IT Park,2022-01-02
92,Customer 92,Pune,West,2022-08-21
93,Customer 93,Chennai,IT Park,2022-12-23
94,Customer 94,Jaipur,Market Area,2022-03-21
95,Customer 95,Hyderabad,West,2022-04-22
96,Customer 96,Delhi,Outskirts,2022-10-05
97,Customer 97,Delhi,Old City,2022-01-30
98,Customer 98,Delhi,Outskirts,2022-09-02
99,Customer 99,Jaipur,Residential,2022-03-22
100,Customer 100,Delhi,Residential,2022-02-11
101,Customer 101,Bengaluru,North,2022-11-01
102,Customer 102,Mumbai,East,2022-07-26
103,Customer 103,Mumbai,Outskirts,2022-05-07
104,Customer 104,Lucknow,Outskirts,2022-01-21
105,Customer 105,Lucknow,North,2022-08-03
106,Customer 106,Lucknow,Outskirts,2022-09-25
107,Customer 107,Kolkata,West,2022-04-15
108,Customer 108,Kolkata,East,2022-05-16
109,Customer 109,Pune,South,2022-12-10
110,Customer 110,Chennai,Market Area,2022-06-11
111,Customer 111,Mumbai,Central,2022-08-23
112,Customer 112,Lucknow,Outskirts,2022-02-21
113,Customer 113,Mumbai,Residential,2022-04-20
114,Customer 114,Jaipur,West,2022-03-09
115,Customer 115,Kolkata,North,2022-05-06
116,Customer 116,Kolkata,West,2022-03-22
117,Customer 117,Ahmedabad,Residential,2022-12-27
118,Customer 118,Chennai,Outskirts,2022-12-01
119,Customer 119,Jaipur,Central,2022-12-08
120,Customer 120,Jaipur,West,2022-12-06
121,Customer 121,Mumbai,South,2022-05-16
122,Customer 122,Mumbai,North,2022-10-11
123,Customer 123,Bengaluru,West,2022-05-25
124,Customer 124,Lucknow,East,2022-06-25
125,Customer 125,Hyderabad,West,2022-09-16
126,Customer 126,Ahmedabad,West,2022-01-27
127,Customer 127,Mumbai,IT Park,2022-05-22
128,Customer 128,Delhi,Central,2022-06-20
129,Customer 129,Bengaluru,West,2022-03-24
130,Customer 130,Ahmedabad,Residential,2022-12-28
131,Customer 131,Pune,Residential,2022-01-05
132,Customer 132,Mumbai,North,2022-12-20
133,Customer 133,Bengaluru,Residential,2022-01-19
134,Customer 134,Kolkata,Outskirts,2022-10-10
135,Customer 135,Bengaluru,IT Park,2022-03-07
