order_id,customer_id,restaurant_id,order_datetime,item_count,base_amount,discount_amount,tax_amount,delivery_fee,total_amount,delivery_time_min,order_status,payment_method,is_new_customer,customer_city,restaurant_city,rating_given
1,878,189,2023-07-13 21:08:00,7,877.44,0,43.87,56.38,977.69,27,Delivered,Wallet,0,Jaipur,Jaipur,4.8
2,1534,398,2023-02-17 19:00:00,4,566.11,0,28.31,51.08,645.5,71,Delivered,Card,0,Mumbai,Mumbai,2.4
3,1540,451,2023-01-23 15:22:00,4,1197.94,0,59.9,79.71,1337.55,58,Delivered,UPI,0,Jaipur,Jaipur,4.8
4,670,483,2023-12-28 21:52:00,6,1089.45,20,54.47,74.65,1198.57,48,Delivered,Wallet,0,Mumbai,Mumbai,4
5,1981,210,2023-05-17 15:44:00,2,178.32,50,8.92,76.15,213.39,65,Refunded,COD,1,Bengaluru,Bengaluru,NULL
6,2100,477,2023-03-12 23:33:00,4,449.33,20,22.47,52.41,504.21,27,Delivered,Card,1,Chennai,Chennai,3.3
7,1569,274,2023-02-28 10:31:00,1,411.92,50,20.6,24.7,407.22,39,Delivered,UPI,1,Mumbai,Lucknow,NULL
8,1529,179,2023-01-10 23:24:00,7,599.54,20,29.98,36.3,645.82,33,Delivered,COD,0,Chennai,Chennai,NULL
9,1176,186,2023-06-28 10:58:00,6,1116.51,30,55.83,34.38,1176.72,71,Delivered,Card,0,Kolkata,Kolkata,4.5
10,2115,427,2023-08-07 22:46:00,1,991.99,50,49.6,23.58,1015.17,66,Cancelled,Wallet,0,Chennai,Chennai,NULL
11,595,368,2023-08-26 16:36:00,5,295.55,50,14.78,47.99,308.32,49,Delivered,Card,1,Pune,Bengaluru,4.4
12,1563,168,2023-02-13 13:49:00,5,484.53,50,24.23,55.11,513.87,22,Delivered,Wallet,1,Bengaluru,Lucknow,4
13,1194,159,2023-01-07 11:19:00,6,1022.88,0,51.14,51.66,1125.68,48,Delivered,COD,1,Delhi,Ahmedabad,3.1
14,2001,431,2023-10-12 13:26:00,1,745.94,0,37.3,44.66,827.9,37,Cancelled,Wallet,0,Lucknow,Lucknow,NULL
15,153,4,2023-05-13 22:50:00,5,400.3,75,20.02,58.82,404.14,28,Delivered,Card,1,Lucknow,Lucknow,NULL
16,911,53,2023-02-28 20:02:00,3,859.2,75,42.96,66.59,893.75,57,Delivered,Card,1,Delhi,Delhi,NULL
17,2094,43,2023-05-12 10:43:00,6,703.68,0,35.18,29.13,767.99,58,Delivered,UPI,1,Ahmedabad,Ahmedabad,3.5
18,266,400,2023-06-16 19:23:00,7,197.1,50,9.86,55.99,212.95,38,Delivered,Wallet,0,Kolkata,Kolkata,4.9
19,2854,128,2023-07-11 17:18:00,1,293.14,0,14.66,36.68,344.48,38,Cancelled,UPI,1,Chennai,Jaipur,NULL
20,2576,171,2023-06-10 18:45:00,6,1135.14,50,56.76,67,1208.9,73,Delivered,Card,0,Pune,Pune,NULL
21,202,46,2023-02-09 13:36:00,7,702.08,0,35.1,71.88,809.06,74,Cancelled,UPI,0,Jaipur,Jaipur,NULL
22,2370,232,2023-09-24 17:20:00,5,330.63,30,16.53,54.81,371.97,35,Delivered,Wallet,1,Mumbai,Mumbai,4.9
23,2535,42,2023-08-16 21:56:00,7,510.83,40,25.54,12.93,509.3,55,Delivered,Wallet,0,Bengaluru,Bengaluru,NULL
24,1673,64,2023-08-03 13:36:00,3,1119.77,20,55.99,14.4,1170.16,69,Cancelled,Card,0,Pune,Pune,NULL
25,2357,400,2023-06-24 15:07:00,2,561.18,0,28.06,55.99,645.23,56,Delivered,Card,0,Jaipur,Kolkata,NULL
26,478,23,2023-03-03 16:16:00,8,922.28,0,46.11,43.27,1011.66,75,Delivered,COD,1,Lucknow,Lucknow,2.2
27,2019,470,2023-09-29 16:57:00,7,502.72,50,25.14,30.3,508.16,64,Delivered,Wallet,1,Hyderabad,Hyderabad,NULL
28,830,367,2023-10-30 19:39:00,2,1193.66,0,59.68,17.94,1271.28,24,Delivered,Wallet,0,Kolkata,Kolkata,NULL
29,669,33,2023-08-12 14:48:00,8,876.12,0,43.81,47.92,967.85,66,Delivered,UPI,1,Kolkata,Kolkata,3.8
30,905,344,2023-08-21 16:20:00,8,310.86,30,15.54,55.52,351.92,69,Delivered,Wallet,0,Ahmedabad,Ahmedabad,3.6
31,1047,370,2023-09-18 23:59:00,7,428.08,50,21.4,44.75,444.23,40,Delivered,Card,1,Mumbai,Mumbai,NULL
32,2326,407,2023-04-18 16:33:00,5,741.15,40,37.06,19.17,757.38,26,Delivered,Card,1,Chennai,Chennai,3.3
33,254,197,2023-05-28 14:38:00,2,1118.48,30,55.92,65.83,1210.23,29,Delivered,Card,1,Chennai,Jaipur,NULL
34,1536,43,2023-10-04 18:51:00,4,127.2,0,6.36,29.13,162.69,43,Delivered,COD,0,Mumbai,Ahmedabad,4.5
35,2775,2,2023-02-26 21:45:00,2,599.96,50,30,38.14,618.1,51,Delivered,Card,0,Bengaluru,Bengaluru,NULL
36,1850,324,2023-07-01 22:05:00,4,905.55,40,45.28,57.59,968.42,30,Delivered,Wallet,0,Bengaluru,Bengaluru,NULL
37,1882,478,2023-02-07 21:44:00,6,1083.65,0,54.18,51.22,1189.05,47,Delivered,Wallet,1,Bengaluru,Bengaluru,4.5
